Feature,Coefficient
temperature,623.7751417164179
density,1.4365505832017884e-05
temperature^2,-2.237905120631397e-09
temperature density,-7.759566828222352e-08
density^2,-1.553796493290934e-09
intercept,-0.0004781324532814324
